ReviewTitle,ReviewBody,ReviewStar,Product
"sound quality is OK noise cancellation i good.. Sony MDR-XB30EX In-Ear Extra Bass Stereo Headphone ...
","buy this product on last week(3-7-2015)guys, pl z don't expect more bass.sound quality is OKnoise cancellation i good. .Sony MDR-XB30EX In-Ear Extra Bass Stereo Headphone  this one is much better than sennheiser. on my experince.
",3,Sennheiser CX 6.0BT
"Not for Bass lovers and not so comfortable to wear
","Not for Bass lovers. I am not even one, but still would prefer a bit more bass. Also, it's not so comfortable to wear or stay on place if you would jog or run. It's annoying to keep adjusting, which otherwise a wired headset will be better.
",2,JBL T110BT
"Boat rocketz Headset-review
","Boat - Battery charge doesn’t stay longer if you are on it the entire day .. I have used better products though their or on the higher price range .. I’m may have come blunt on this review ..but I’m feeling itAmazon as usual rocks so nothing to Amazon team Keep up the good work
",2,boAt Rockerz 255
"Poor sound quality...not expected from JBL
","Sound is really poor
",2,JBL T110BT
"JBL T110 BT- Worth the money?
","Battery life is Good but expected a little more from JBL in terms of sound quality.Yes, Tested this with youtube, inbuilt music player of phone and play music app. You will get the real bass only when you tweek the settings to bass boost @ 100 in equiliser of play music app.Rest the build quality is good and product is 100% genuine...Fitting in ear is good and both the earbuds are magnetic enables you to carry them around your neck easily.To wrap up; If you need a decent pair of earphones with not boomy heavy bass but optimum bass then go for it !
",3,JBL T110BT
"Amazon degrading its quality.
","Worst product, First product received was with scratches on It and after exchange, 2nd Product’s Right earbud not functional..Amazon has degraded its quality.. Worst service by amazon this time and not at all worthy product.
",1,JBL T205BT
"Amazed with sound
","Quality of sound it delivers is on par with any 5k+ earphone. Built quality is good. Amazon delivered thia product earlier (within 2 day from order) before actual deliver date. Thanks to amazon ☺️
",5,Sennheiser CX 6.0BT
"Four Stars
","good product
",4,JBL T110BT
"This jbl bluetooth headphone quality is not good..
","I want to return  this product but there is no option to return so please tell me how could I return this product...
",3,JBL T110BT
"Not working properly right side one is not working
","Very poor in durability just purchased 3 months ago now not working properly
",2,boAt Rockerz 255
"Battery life down from 6 hours to 2 minutes in 3 months
","Didn't last for even 3 months. Was very happy with the product initially but as all the other reviewers have mentioned, the battery is worst. The battery life reduced slowly from 6 hours to now 2 minutes.Really was not expecting this from a jbl product.Lost trust on the jbl brand
",4,JBL T110BT
"I am very disappointed , there is no boat customer care in India ,kindly  help this issue
","I like this because i like sound quality and very comfortable ,but  after 1months sound is come very less ,
",3,boAt Rockerz 255
"Not better than skull candy smokin bud 2
","Skull candy is better option
",3,Sennheiser CX 6.0BT
"decent product
","buid quality is little cheap not very cheapbase is little higher, equaliser tweak will fix it
",4,JBL T110BT
"Midium
","Voice calling not clear
",4,JBL T110BT
"Sound quality
","Sound quality is not good & it's to long
",3,JBL T110BT
"Product damage under warranty period.
","Hello Amazon team, i brought this headphone in August 2017.. There was 24 months of warranty for product, but currently headphone is not working properly. Right side headphone damage under 22 months.... So please help me for the replacement process... Thanks
",4,Sennheiser CX 6.0BT
"Not worth it
","Doesn't really look like whats shown in the pic..  It has a band and not just wire..  The sound quality is just ok but the battery life is too bad..  Doesn't even work for an hour..  Not worth it for 2k... Too disappointed
",3,boAt Rockerz 255
"Good sound quality. The adapter provided was not working though.
","Good sound quality. The adapter provided was not working though.Head phone and mic worked good. But an adapter provided was not good. When we connect it sound quality drooped.
",4,Sennheiser CX 6.0BT
"3 star
","It's ok kind.
",3,JBL T205BT
"product not working properly
","not working properly, music stucks at between many times, when its connected. not making  worth for money.
",1,Skullcandy S2PGHW-174
"Initially the was good but 2 day while on call there is noise ...
","Initially the was good but 2 day while on call there is noise district ion firstly I thought that there is a problem with network but there was fault in headphone
",2,Sennheiser CX 6.0BT
"Not very comfortable while working out
","Good but not very comfortable while working out. The ear bud doesn’t fit very well. Wouldn’t recommend neck bands for workout purposes
",2,boAt Rockerz 255
"Average product
","Nice product... but a bit high price.It could have much better sound quality at this price. I have always loved ""Boat"", it is one of the best product of boat but could be better. Sound quality is average... not upto the mark. I was expecting it to be more clearwith better base n treble.
",4,boAt Rockerz 255
"Damaged packaging. Suspected product was not original.
","Sound contain plane bass. Packaging was damaged .I suspect I didn't get the original one .whatever I got was having slightly good sound quality than earlier i had(₹599). Still i m going to buy boat earphones only because of its quality and durability.
",3,boAt Rockerz 255
"Five Stars
","value for money
",5,Sennheiser CX 6.0BT
"only buy if your are a base lover
","the headsets are comfy and the design is sleek regarding sound the headsets handels most of the back gound instruments just fine not great just fine the base is so much that it interferes with the voice of the vocalist the sounds gets suppressed while the base is just loud the voice also cracks sometimes if you listen closely overall not for everyone but great buy.
",3,boAt Rockerz 255
"After a 2 months stop working
","After a 2 months stop working
",1,JBL T110BT
"Automatically disconnects after 30 minutes of use.
","The product seemed good initially (including the design, weight balance, sound quality etc). However, within 15 days of use, it has started behaving funny as it gets disconnected after 30 minutes of use (even when mobile is in my pocket). So, I can't trust this Bluetooth earphone while taking official calls.
",2,boAt Rockerz 255
"Worst product.... don't buy at all
","Worst product ever..... After a week it damaged completely
",1,boAt Rockerz 255
"Product Authenciation Received via Mail From Sennheiser
","Product Authenciation Failed. Mailed details to Sennheiser and got confirmation that Product is original
",5,Sennheiser CX 6.0BT
"Sound is very very low I can here out side noise
","Good brand but sound 🔊 is Very low i do not injoy it bcz when I play songs and any video i can hear so much out side noise sorry but it's truth it's with me last few months but i do not use it bcz of same resion
",1,JBL T110BT
"Worth buying... And I liked it..
","Worth buying this product if you have a limitted budget of 1.5 KJust to note this earphone comes with bluetooth v 4.1 and CSR 8635 chipset, but there is a confusion with amazon itself... in desc its mentioned 4.1 however in pictures its shown as 4.2.. The seller is selling us version 4.1. Please amazon correct it!! Customers would face the loss in case of any mis communication.Talking about build quality, sound clarity and looksI personally liked it.. Bass is really good no noise while hearing. If you are listening into a good melody songs you would dive into the music. Look wise as depicted in pictures it looks different from the black and red..I use for jogging and excersise and the fit is good.. it won't get dropped off.Battery is ok I am getting around 6 hrs in a one full charge. Battery capacity could have been increased at least to 10 hrs by Boat. But no worries...
",4,boAt Rockerz 255
"Worth every penny.
","Excellent product.Only problem is clumsy cable.
",4,Sennheiser CX 6.0BT
"Great Headphones!
","Purchased these headphones from Amazon and were timely delivered. I've been using these headphones for a week now, here's a review -PROS :1. Sound quality is crisp - high, mid and low (bass) notes are clear and headphones are loud enough. Given these are not in-the-ear headphones, I still need to keep volume at around 50-75%. But I really think loudness could differ from one mobile phone to another.2. Battery is ok I guess, these are my first Bluetooth headphones so won't be able to compare. Once fully charged I can use headphones for 3-4 hrs.CONS:Only the earbuds/tips need some improvement, they slip out easily. Other than that can't think of other points.*Regarding durability can't comment at this point of time.
",4,PTron Intunes
"Not satisfied with the sound
","Not a good thing
",2,boAt Rockerz 255
"Poor cord
","They are really good but the cord is so turn it breaks from within and is useless in a few weeks
",2,Sennheiser CX 6.0BT
"Not worth for it’s costs
","If you’re a music lover do not buy it. Sound quality is not good. You’ll be irritated after listening more than an hour because of it noisy sound
",2,boAt Rockerz 255
"Very nice product ....... value for money
","I liked it, very nice product .... value for money @999.  good sound/bass, range is also good
",4,boAt Rockerz 255
"It's not worth to spend money
","Battery life is less
",2,JBL T205BT
"Superb Sound
","very nice product, really i love this, again i booked to my friend.
",5,boAt Rockerz 255
"Faulty products
","The product stopped working in a day, sent the product for replacement, got a new one and that too is faulty
",1,boAt Rockerz 255
"Worth it!
","These are nice pairs of earphones. I bought them for listening daily music. Two months I've been using it, worth for money.
",4,Sennheiser CX 6.0BT
"Waste
","Waste of money. Go for JBL
",2,Sennheiser CX 6.0BT
"Idk
","It does not pair to my device at all. I have tried all I can. It has a blue blinking light but doesn't show up in my device
",1,JBL T110BT
"Voice echo issue
","Only good for listening to music, doesn't help for calls. Voice echo issue, useless only indoors and outdoors this product is not even average.
",1,JBL T110BT
"Superb wireless headphone from JBL
","Great Product from JBL, sound quality was amazing ... indicator light might irritate ... since it always glows... other than good product to buy from amazon ..
",4,JBL T205BT
"Below avg
","Ear paining while using.. not flexible to use also.. need handle with care, material is not strong
",2,boAt Rockerz 255
"Great sound quality
","Sound cancellation is good. Worth buying. Good sound quality.
",5,Sennheiser CX 6.0BT
"Noise cancellation
","Noise cancellation was poor...
",3,boAt Rockerz 255
"Value for money
","True sound quality.  Awesome product for the price point
",5,JBL T205BT
"battery drainage problem..
","battery is discharging too fast.. even within 1 hour
",2,boAt Rockerz 255
"not bad
","sound clarity is good ..but sound is less
",3,Sennheiser CX 6.0BT
"It's a very good device!
","Value for money!
",5,Flybot Wave
"Not good just ordinary
","No bass and no anc. Not worthy for 4500
",2,Samsung EO-BG950CBEIN
"Good
","Battery life is good but little bit sound quality is low as base and but good for all functions..
",4,boAt Rockerz 255
"Very disappointed...
","Sound is ok.nothing special.Microphone is horrible,no noise cancellation at all.not worth the price.I want my money back.and why no return or refund option.only replace option is there.I don't want the same thing again.
",2,Sennheiser CX 6.0BT
"Best earphones
","Best earphones I used till now. Noise cancellation is so good cant even hear car honks on road.
",5,Sennheiser CX 6.0BT
"Disappointed
","Hoping that this will have better Punching of bass and sound quality as compared to our favorite CX180...But  CX 180 is better than this in terms of bass
",3,Sennheiser CX 6.0BT
"Bad quality cables
","Not lasting. Cables are broken before the warranty out.
",2,Sennheiser CX 6.0BT
"All perfect.working smoothly
","All perfect.working smoothly
",4,JBL T110BT
"Bass quality is terrible
","Bass quality is terrible. Bought this cos of the bass quality, but I was disheartened by the quality of the way it sounds. There are way better hear phones with great quality of bass below the price range.
",1,Sennheiser CX 6.0BT
"Mic problem
","Problem with mic
",2,JBL T110BT
"Plain voice, no bass, no noise cancellation
","The quality is good but there’s no value for money. It sounds like any cheap headphones, only wireless. Plain voice, no bass, no noise cancellations. I’ll recommend to put in some more and buy skullcandy ink’d...
",3,JBL T110BT
"Good
","Good
",5,Sennheiser CX 6.0BT
"Never ever purchase.
","I didn't receive the product in the product box this empty box from an idiot.
",1,boAt Rockerz 255
"Best budget headset
","Better than jbl in terms of sound clarity.. for those who want bass, go for jbl
",5,Sennheiser CX 6.0BT
"Poor connectivity during call.
","Poor connectivity, even distance is less than 2ft. Voice break in call and sometimes in music. Tridled with few different phones to make sure no compatibility issue, but all time connectivity issue. For this high price, not upto mark. Box packing was used. Seems like supplier keep rotating faulty used item.
",2,boAt Rockerz 255
"It was amazing product. Base was nice
","It was amazing product. Base was nice. It last for more than 6 hours.I didn't get any USB charging cable with the package.
",2,boAt Rockerz 255
"Don't buy
","Product quality is very poor. You don't know when it will die. Device will show Power level at >30% but suddenly it will drop to zero and die. Even though they gave 3 types of ear caps it won't fit. Overall it's not worth for money.
",3,boAt Rockerz 255
"Durability and material very poor
","These earphones woudn't last even 6 months.Twice I hace bought sennheiser, twice I have regretted for the durability of product.Sound quality is very good.
",3,Sennheiser CX 6.0BT
"I use same product before.
","I use same product before when I on it it's saying Boat 255 but this earphone not saying this. Just saying boat only means it's not same model which I ordered.
",4,boAt Rockerz 255
"Three Stars
","Better but the mic is not near my mouth.
",3,Skullcandy S2PGHW-174
"Perfect companion to your ears and soul.
","After a long research to get my BT Headset in the price rage of Rs.2000, I finally landed with this one. I'm happy about this choice. I explored Ant, Tagg and other brands but the JBL brand value and its wider service network given confidence. Surely it's simple yet powerful headphone. very elegant design, no non-sense outfit. Perfect for several hours of music. It is having magnetic lock, which is not mentioned in the product page. In the pack, it has different sized three pairs of ear-bud caps, the subtle Orange in the ear-buds presents its beauty very presently. As far as sound concern, it is JBL. I already own speaker and over-head phone from JBL, which are performing for several years consistently. This also proves its quality. Good bass and clarity, even in minimum to maximum volumes. If you have high resolution audio files, it is perfect companion. The mic placement is not friendly and no carrying pouch is given so, I deduct one star for it.
",4,JBL T110BT
"Satisfying product
","Sound quality is good, battery life, comfort fit, all are okay... Also looks stylish.. Overall worth purchase...  Satisfying product.. Go for it👍
",4,JBL T205BT
"Not good not bad
","Not good not bad luck
",4,JBL T110BT
"Volume difference! Returned!
","Volume of one ear was very low. Returned the product
",3,Sennheiser CX 6.0BT
"Bad quality from JBL
","Sound quality not good. Mic is not working :(
",2,JBL T110BT
"Looking for a budget Bluetooth earphones just go for it
","The earphones are really awesome, the sound effects are great and the bass is fine, the only con is the connecting wires are too thin
",4,boAt Rockerz 255
"Good quality and affordable earphones !!
","Everything is good sound quality, noise cancellation but there is just one problem it does not fit  properly in my year it comes off....if you are ok with it please go for this earphones
",3,boAt Rockerz 255
"Nice one
","Good one
",5,boAt Rockerz 255
"The best sound but delicate build
","Its best headphone with clear sound and amazing bass, although the effect of base is best while listening it in less noise. As it doesn’t have any noise isolation but still if it perfectly fit in ears the sound is least effect with considerable noise. That is, it’s great for general commute. Its mike is also great with it position and recording quality makes it best for calling.Although it’s not a deal breaker but like me do not expect much with l shaped extension adapter it only works with Samsung or some selected device. And it is also mention on its cover.Comparing it with Sony MDR series (extra bass series) Schneider headphone is way ahead in sound quality, although it depends on your taste but it like Sony MDR series have special punch to bass slightly cutting other aspects like tone quality and treble. Schneider (This model) have almost the same (or better bass) with even better quality of other sound, other than sound it’s also have superior in comfort and ergonomics.The only thing it lag is the build quality, in almost same price tag Sony MDR series are IP68 and build to last till you are bored with it. While this headphone needs to be treated like a baby and the other trade off with Schneider is lesser service centre in India.So, if you are planning for workout or training music then forget this try Schneider’s higher sports model or try Sony, Skullcandy etc. but if you are music lover looking only for premium sound quality then it’s the best in this price range.
",3,Sennheiser CX 6.0BT
"not working properly
"," why left earphone stopped working
",2,JBL T110BT
"Sennheiser rocks
","Loved the headphones and listening music with this one is love.
",5,Sennheiser CX 6.0BT
"I want immediate action
","1st two weeks this product is nice.but from third week if I off the Bluetooth button it does not offing.and automatically it is changing songs.
",3,JBL T110BT
"Maast
","Masst
",5,Skullcandy S2PGHW-174
"go for it
","sound quality goodbranding moneynot so much fit In the ears
",4,boAt Rockerz 255
"Small connector not working
","Earphones looking good but small connector is not working properly .
",3,Sennheiser CX 6.0BT
"Good product
","Good product.... connects fast.... sound quality is good...bass is medium not high......battery life is average and for singers.....dont buy it for singing purpose.... it's recording quality is very bad ...you can't use it for singing
",4,JBL T110BT
"Suits the price
","Sound quality is ok for the price, the battery lasts pretty fine and very durable product though.It's good at the price it comes for.
",3,boAt Rockerz 255
"Decent product but....
","Good product. Decent sound, but Little too much of bass that it reduces the brightness of the high frequencies.Wish it sat flush in your ear but has quite a bit sticking out but that's ok.Battery life is good.Easy setup and access with the controls on the side
",4,boAt Rockerz 255
"Good product
","Product is kinda good , the only issue with it is that it doesn't fits in the ear perfectly.
",4,boAt Rockerz 255
"Bass less disappointed
","Written pure bass but it's fully opposite. No bass at all infact the treble is too high and irritating.
",2,JBL T110BT
"Not value for money
","After using it for 5 months One side of headphone not working properly sometimes its sound & suddenly stop.
",2,boAt Rockerz 255
"Loved it.
","Sound Quality:GreatBattery life:Little bit weaker
",4,JBL T205BT
"Jitender sharma
","Boat rockerz 255 bluetooth headset is a great product
",5,boAt Rockerz 255
"Mic problem
","Mic problem
",5,JBL T205BT
"Five Stars
","Much better than other headphones and I am still using it
",5,Sennheiser CX 6.0BT
"Very Happy
","Very happy to buy this product,Good quality , everything is awesome thanx amazon.
",5,Flybot Boom
"Three Stars
","Earphone is good, sound quality is good but price is very high
",3,Sennheiser CX 6.0BT
"Good one and worth the price has good bass and sound
","Overall a good package and value for money
",4,boAt Rockerz 255
"Not up to the mark
","Returned product twist. Still searching for a good one
",2,boAt Rockerz 255
"Sound was good but low bass
","When we purchase products of such brands we expect quality, However it was up to the mark.Sound was good but low bass.
",2,Sennheiser CX 6.0BT
"totally disappointed
","I got the product from amazon as expected in time but the left earpiece isn't working at all.... and even the mike isn't working... I ordered this product to have my conversation easily while driving but to mg astonishment the product wasn't okie... but the audibility with one side of the earpiece is also not less it's a great pleasure. . I hope I get a replacement for this product
",2,Sennheiser CX 6.0BT
"Best earphone if bought under 1500
","I used this product for like 6 months. In between one side of its earphone stopped working but boat team is too responsive as they replaced this product with new one. Sound quality is good but if you want better quality would recommend for other product. Battery life is best even using for so much of time. But facing difficulties as there always some kind of issue happening again and again. Other then its fine if it is bought under sale.
",3,boAt Rockerz 255
"Nice product
","Sound quality is not up to mark.
",3,PTron Intunes
"Standby not automatically done
","Easy to use and handling bt main drawback it doesn't go in standby mode automaticay as like samaung and sony and battery got drain out withinn 3 4 hoursSound wise also average
",2,JBL T110BT
"JBL
","Not happy
",2,JBL T205BT
"Worth for Money
","Bluetooth headsets usage beginners will be useful
",4,JBL T205BT
"Defective product
","I got a replacement for defective product...the replacement box looked pretty old....and after a month I see the mic button wear-off!!!...
",3,Sennheiser CX 6.0BT
"Improved wire quality
","Simply it's very nice and good product
",5,Sennheiser CX 6.0BT
"Amazing Product Value for Money
","It's a good headphone set and it's worth every penny. But the storage pouch and small ear bud set was missing. Wondering whether it's a used thing or packing missed.
",4,Sennheiser CX 6.0BT
"Not worth
","It has started giving trouble within few days of use.  There is a constant noise which is quite troublesome
",2,boAt Rockerz 255
"Great Product to buy with fine quality of sound but my item just worked for only 6 months.
","Great Product to buy with fine quality of sound but my item just worked for only 6 months. My badluck
",3,JBL T110BT
"SOUND QUALITY IS GOOD
","I gifted this to one of my friend on his birthday. And he was very happy. The sound quality of JBL is awesome no doubt.Battery life could have been better otherwise everything was good
",5,JBL T110BT
"Poor product
","Not satisfied with this product.
",2,JBL T205BT
"Not bad
","Not bad in this priceSound quality is not bad
",4,boAt Rockerz 255
"Too much Bass
","Too much bass effecting the sound quality. Mid and treble are nowhere balancesand has to use equilizer. Not recommended if you want to listen old Hindi songs else good for current remixes trend.
",4,boAt Rockerz 255
"The battery Is causing issue
","The battery is causing issues, it not getting charged and also when charged full it only works for an hour or so
",2,JBL T205BT
"Great earphines by sennheiser
","Amazing etphones
",5,Sennheiser CX 6.0BT
"Worst product delivered to me
","What can I tell about the product.I initially ordered the product and got it replace because it was not working properly.Later I ordered it again assuming that I will receive a good quality product. However post month the new earphone that I received stopped functioning.I had to visit the Service center and get it replaced.Not expected such type of product from Amazon
",1,Sennheiser CX 6.0BT
"Must buy...bole to taste Mai mast earphones
","As per m boat lover.....boat is simply amazing.. everything is good.noise cancelation.sound quality. comfortable in ear .. outstanding performance.and spekar also works perfectly while talking on phone..thanks Amazon.
",5,boAt Rockerz 255
"Battery is faulty within one month.pls replace the device
","Battery is not working properly.pls help.pls change the device
",1,JBL T110BT
"3/5, It's Okay
","Sound quality: ExcellentCompatible with: iPhone5S, Laptop, mp4 playerThe cord seems delicate though, not sturdy enough.
",3,Sennheiser CX 6.0BT
"Received faulty product
","The product looked fine when I opened it. But it didn't sound well. Sound was leaking multiple times. I used it while jogging and I couldn't hear a single song perfectly. Disappointed.
",1,boAt Rockerz 255
"Good headset if you don't mind what I've stated below
","I bought these a few days back and after a lot of thought. Here's my impression:PROS:1. Sound quality - these Bluetooth earphones are quite clear and crisp which I loved, however I find that on call and even in general the volume output is low so often you have to keep it on maximum which I don't think it's heathy at all.2. Noise cancellation - these earphones have zero noise cancellation since they are not earbud style, so if you are in noisy traffic chances are you will struggle to hear music and the caller on the line3. Bluetooth range - the range is good, you can get as far as one room away with no distortion nor disturbance which is very pleasant, I really liked that. However it struggles to stay connected should you travel any further than that. Decent range, works for me4. Built quality - the build quality is as can be expected for an earphone in the range but even then it's good, well finished and the flat cable really does help quite a bit to keep from a tangled mess!5. Battery life - with medium usage it lasted me close to 1½ days on a single charge which is not shabby.CONS:1. The design of the headset with the battery on the one side and the microphone unit on the other is very flawed because inadvertently if you are using only one earphone the battery unit pulls the microphone to the back of your head and you have to constantly adjust. It happens even when you wear both, either a neckband on the section that goes around or even a clip to tighten the wire on the back of the head would have been a good addition2. The earphones - I found that since these rest just inside the ear opening they need constant adjusting as they tend to shift as you are working or moving, plus my ears started hurting a little as some point, not to the extent of returning these or not keeping them in but I believe providing mini ear hooks would have been a good idea so that they keep the earphones snug and immobile
",3,JBL T205BT
"Microphone issue
","Microphone is not working properly and there seems to be more noise when using for voice calls
",2,boAt Rockerz 255
"Low bass,good battery and nice durability
","Sound quality is not up to the mark, as I expected, otherwise product is nice
",4,JBL T110BT
"Sound quality not upto the mark
","Bass effect very low. Spend some more bucks and buy better. Dont recommend
",2,JBL T205BT
"255
","During unpacking When i see d box it was in very bad condition . Sound Quality is not good .
",1,boAt Rockerz 255
"A nice product - stopped working
","Bass is good. loveable for music lovers.But, after using for 5 months it stopped working.
",1,boAt Rockerz 255
"fake product
","quality is very bad.. i think its not original.
",1,JBL T205BT
"SOUND QUALITY IS GOOD ,BUT POOR CONNECTIVITY , POOR FITTING.
","SOUND QUALITY of flybot wave wireless earphones is good,but very good when the earphone CONNECTIVITY is also good, in middle of playing songs automatically song is intermittently music play, disconnected and also connected but why disconnected ,(I connected and using the Bluetooth in between 10 metre,and also Company written this In box Bluetooth transmission  range is 10 metre, so why disconnected, I will show this in photo)  , stopped ,and also fitting is very poor (I do jumping jacks ,dance, I adjusted the earphones everytime also  when I am running because earphones is not perfectly fitting I also change buds but nothing happens same problem produced) and also in one pair buds , one bud is small and other one is big I will show by clicking photo, COMFORT soft and lite in weight  but main problem is poor fitting,and CONNECTIVITY.
",2,Flybot Wave
"Within warranty and not charging
","It's within warranty and has stopped getting charged.. help me get it
",2,JBL T205BT
"Earphones are good, but a bit long in length
","The design could have been better. But sound quality is really nice at such price
",4,boAt Rockerz 255
"Four Stars
","Great headphone, bass is good and output is awesome.A recommended purchase
",4,JBL T110BT
"Nice product
","Low bass lovers like a earphone
",3,JBL T205BT
"Stopped working after 20 days. Defective item sold
","Stopped working after 20days of use. Immediately getting switched off after powering on.. defective piece sold to me..return window also closed..
",1,JBL T205BT
"Dont buy. Waste of money. Low quality product
","Worst headphones ever. Sound quality is below average.. Also the rubber material on the headphones came off within 4-5 days.. It also hurt your ears if you use it for long..
",1,JBL T205BT
"Not worth in any angle for music lovers
","Waste of money
",3,boAt Rockerz 255
"Is Bass of the headphones is high
","Sound quality is great🤘and the noise cancellation is also great👍 but the Bass is bit poor 🖐️but  it can maintain both song and bass in a equal tempo
",5,Sennheiser CX 6.0BT
"Bass is a letdown
","It’s good but bass is a big downer ! Hardly any bass! Durable and good battery !
",4,JBL T110BT
"Two Stars
","cable is very thin and it tangles very bad also treble is very high not for bass lovers.
",2,Sennheiser CX 6.0BT
"NOT TO GO FOR THIS
","Senheiser is best known for best quality earphones.Previosly I used Sennheiser CX 275 S earphones which was One of the Best in its range.Later I think of buying another one from Senheiser, So Ordered Sennheiser CX 2.00G (Which is costly than Senheiser CX 275 S) But Got Totally disappointment. Sennheiser CX 2.00G do not worth a 500 rs cost.I am writing names of earphones again N again because I found that Review Content for both the earphones 1-  Sennheiser CX 275 S, 2-  Sennheiser CX 2.00G is same. Amazon is showing same reviews for both the earphones. But both are totally different in Quality.Check the reviews here,- https://www.amazon.in/gp/product/B00NQ17ZUS/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1- https://www.amazon.in/gp/product/B008V6T1IW/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1
",1,Sennheiser CX 6.0BT
"-
","Awesome product, nice sound quality.
",5,Sennheiser CX 6.0BT
"nice product
","good product
",5,JBL T110BT
"Sound quality awesome.... But The quality of the wire is doubtful...
","Sound quality is awesome.... But the quality of the wire is not as expected by me for a 1.5K worth headphone.... You have to be very careful dealing with headphone...  Wire is too thin and i dont know how long it last....
",3,Sennheiser CX 6.0BT
"Good built quality as well as sound
","I like the product but some how when i open the parcel its box seal is broken. May be some one return the package and they gave me that broken seal package that i dont like, Thats is why i am giving 3 star otherwise product is good.
",3,boAt Rockerz 255
"Need replacment
","I got the in month of june.... Suddenly right side had stopped working.... Can u help me for replacement.... As itz showing 1 year replacment warrenty
",3,boAt Rockerz 255
"Awesome sound quality.....
","Very best product..... awesome sound quality...soft and deep bass....and works properly in all devices.......
",5,Sennheiser CX 6.0BT
"Good product.
","Good product
",1,JBL T205BT
"Pubg kai liye soch rahe hoo too bilkul nhi lena
","Sound or price is too good
",3,boAt Rockerz 255
"Aswome Bluetooth earphones
","Bluetooth connectivity is working as expected and microphone also works well.very good base and sound quality
",5,Flybot Beat
"Waste of money
","Terrible earphones. All I hear from them is base. No treble whatsoever. Unable to return product!
",2,boAt Rockerz 255
"Try other products
","Not at all compatible for playing games. Many a times call quality is poor. The earphone white cover came off with 15 days. And within a month its battery life start deteriorating.
",3,JBL T205BT
"Good product
","Bohot hi acha product he our sounds bhi bohot acha he iska use man and woman bhi kr skte he I personally try this nice looking and superb battery
",5,PTron Intunes
"Best sound..poor quality.
","Day 1 review.# poor quality - looks and feels like a 100 rupee earphone# sound - best for me so far. I've been using Samsung akg tuned one.
",3,Sennheiser CX 6.0BT
"Headset problem
","I have problem with one headset with higher volume while other was low volume.
",2,Sennheiser CX 6.0BT
"Earphone wont suit my ear.  No return policy. Money wasted
","The earphone is not suiting my ear. It is continuously falling down on slight head movement.  This one doesn't come with any rubber beading to provide a proper fix.  Product return is not allowed. So its an absolute wastage of money.
",1,JBL T205BT
"Not a thing for purists.
","At this price Skullcandy Smokin buds 2 is a better option. The bass in this thing is seriously overhyped and sounds kinda tinny/metallic. And purists will hate it. Wire quality is also thin and flimsy. No support under the earbuds. Might easily come off. User of skullcandy and Beats since 10 years. Got 8 pairs of skulls and 2 of beats. I bought it because of the convincing reviews but I'll stick to Skullcandy 💀 💀 💀
",3,Sennheiser CX 6.0BT
"Sound quality is POOR. No bass
","Sound quality is POOR. No bass, not much treble. If you have used better headphones in the past, it will sound like you are listening music in speech mode. Its flat.  [No beats:( ]. Sony MDR-EX150AP which is like the cheapest Sony headphone with mic is light years ahead w.r.t to sound quality.Buy this only if you are desperate for a Bluetooth headphone.
",3,JBL T110BT
"No use
","Waste product
",1,Sennheiser CX 6.0BT
"Uncomfortable, not working properly
","Very bad to use long time as it having long ear phone, 1 of earphone not working properly
",1,boAt Rockerz 255
"Wastage of money
","Totally wastage of money.. One earpode is working and another is not.. Got them replaced and same prblm in new one too..
",1,boAt Rockerz 255
"Mic stopped working with 2-3 months of use
","Not at all satisfied with the product and the durability it offers for this price range.My mic has stopped working within 2-3 months of limited use of the product .
",3,Sennheiser CX 6.0BT
"comfortable and soft sound quality product
","I like this wireless device but as compare with wire headphone, sound quality not good, may be it wireless software /device issues.
",4,JBL T110BT
"Not so great
","I did not like the sound of the device too much (bass is not too much as the other reviews claim).  Mine had problems connecting to multiple devices,  I had to switch it off and then switch it on everytime I want some it to connect to multiple devices. Battery backup is only about 5 hours
",3,boAt Rockerz 255
"Superb quality and music lover must try this product
","Good productAnd superb sound quality
",5,JBL T110BT
"Want to return this product-due to unsatisfactory of this product
","I had brought this headphone from amazon and this product is working good for 2 Weeks,after two weeks its one side is not working.
",1,boAt Rockerz 255
"Was disappointed at first few days, but now more than happy now
","writing after using it for more than 4 months.At first lil disappointed due toh connectivity issue, many times it gets disturbance I believe could be bcos of frequency overlapping. But I want to talk about today's experience I am traveling for around 8 hrs now its incredibly working awsm, no battery issues, no connectivity issues, still 60% battery remains. I think its bcos of short distance range.Earlier I used to take it everywhere hung up on my neck and it everytimes it took time to reconnect. So all in all happy with it now.
",5,boAt Rockerz 255
"Average product but overpriced
","The cost is high but I didn't it worth after I bought it
",3,Sennheiser CX 6.0BT
"Go for it if you want a basic wireless ear phone.
","Basic wireless headset with mic. Sound quality is average. Had expected good bass as its from boat.. but was disappointed with the bass as well as the sound quality which sounded artificial. Batter backup is good and also the make quality is good.  A 3 star product.
",3,boAt Rockerz 255
"NOT SO Fancy
","Costly
",3,boAt Rockerz 255
"BASS
","LOW BASS AND NOT UPTO EXPECTATIONS
",2,Sennheiser CX 6.0BT
"Amazing
","Amazing headphone.....Voice amazingBass amazing
",5,boAt Rockerz 255
